ID,BIRTHDATE,DEATHDATE,SSN,FIRST,LAST,MARITAL,RACE,ETHNICITY,GENDER,ADDRESS
71949668-1c2e-43ae-ab0a-64654608defb,5/28/88,,999-60-7250,Elly,Koss,M,white,irish,F,609 Lizeth Streets Bolton MA 01740 US
c2caaace-9119-4b2d-a2c3-4040f5a9cf32,9/22/36,11/6/87,999-25-1103,Kim,Barrows,S,asian,chinese,M,646 McCullough Points Suite 161 Attleboro MA 02703 US
96b24072-e1fe-49cd-a22a-6dfb92c3994c,8/9/39,,999-31-1262,Jacquelyn,Shanahan,S,white,irish,F,365 Della Crossroad Suite 202 Deerfield MA 01342 US
de43eb48-496c-46d4-8c5b-be6125a38c15,9/4/31,10/9/81,999-32-6726,Nicholas,Lind,S,white,portuguese,M,126 Kshlerin Ville Chicopee MA 01013 US
79266ca2-b4e3-45e5-af65-7914bd4511a0,8/20/68,,999-92-1525,Maxwell,Dietrich,M,black,dominican,M,635 Smitham Burgs Fall River MA 02721 US
31410948-38be-4990-be5e-a47ab44f33a1,11/13/21,3/25/12,999-13-7228,Margarita,Wunsch,M,hispanic,mexican,F,492 Kozey Garden Apt. 713 North Reading MA 01864 US
b1943aad-500b-4b22-8da8-b4d9c667c763,10/28/30,,999-20-5217,Travis,West,M,white,french,M,750 Mosciski Ferry Dedham MA 02026 US
443a0255-5584-45d9-93ca-9174f1d45f03,5/12/33,4/13/98,999-95-9918,Ricardo,Bechtelar,S,white,english,M,7134 Schmitt Passage Suite 889 Cambridge MA 02141 US
00630ce3-e8eb-4ed4-889b-2c0ac257cbf4,3/20/03,,999-23-2870,Tyree,Eichmann,,white,polish,M,45326 Soledad Plaza Wilmington MA 01887 US
2c884d0f-62a1-4371-becc-36a98cdc4f52,2/7/21,8/22/16,999-48-6738,Tammara,Stamm,M,white,english,F,4716 Moen Stream Worcester MA 01604 US
b545c170-d612-420b-8540-23b6ceaf904d,9/26/02,,999-21-4962,Nery,Dibbert,,white,polish,F,7612 Schaden Expressway Apt. 390 Lynn MA 01903 US
16077486-5747-4abe-8321-ba290fb7197c,12/28/53,8/21/98,999-76-2157,Ellena,Monahan,S,white,english,F,77237 Bernadette Turnpike Boston MA 02118 US
0853f544-fdef-4464-8745-239cccfe94b2,5/18/94,,999-38-5733,Lavelle,Vandervort,,asian,asian_indian,F,812 Lila Track Apt. 793 Barre MA 01005 US
6a569777-9dec-4269-93e7-fefbcf21507f,4/1/48,10/21/04,999-90-3103,Carroll,Bernhard,M,white,italian,M,875 Beulah Circles Apt. 780 Brookline MA 02447 US
38364c57-80ce-4749-aed6-878cdff95379,3/28/13,,999-63-8085,Val,McDermott,,black,west_indian,M,47502 Janice Terrace Clinton MA 01510 US
f37ed933-9ad2-45b4-969d-a782cf676a40,11/9/16,5/30/85,999-45-7711,Nichelle,Paucek,M,white,american,F,844 Elmo Spurs Suite 990 North Adams MA 01247 US
17cb551b-b45a-48eb-a097-6421b8bc0fb4,2/19/47,2/28/07,999-24-1616,Rico,Schmitt,S,white,italian,M,4368 Veum Shoals Suite 387 Worcester MA 01654 US
1131717c-e009-446d-b353-0b865cbb4194,1/20/32,,999-45-9346,Seema,McGlynn,M,black,dominican,F,4315 Sawayn Port Greenfield Town MA 01302 US
d30b9faf-89f8-497a-b876-3c07c7be641a,10/1/86,,999-52-9082,Ira,Deckow,M,white,french,F,55508 Wilford Wells Suite 997 Revere MA 02151 US
c8e8ead2-352c-43bb-ae76-b80d74e23d05,9/17/24,5/28/80,999-47-3435,Elli,Hoeger,S,white,german,F,4668 Ebony Shores Suite 274 Dennis MA 02638 US
3f4eca54-1246-4102-bc36-c1cf53fe3dbb,8/20/73,,999-88-2503,Ula,Little,M,white,irish,F,701 Grady Islands Amesbury Town MA 01913 US
b1c7569d-2a9c-42e1-a574-506962e38e1b,9/11/16,,999-73-9106,Mikaela,Borer,,hispanic,puerto_rican,F,68595 Ian Road Suite 867 Bridgewater MA 02324 US
86fc9c5b-ce25-4f37-850b-697fcd3256c1,8/23/90,,999-49-9249,Guillermo,Mohr,M,black,dominican,M,126 Van Creek Freetown MA 02717 US
23a78614-b344-4488-8adb-e1376e32cbed,10/13/21,8/13/98,999-30-3958,Tajuana,Gleason,M,white,irish,F,9431 Frami Knoll Rowley MA 01969 US
45a7d97f-01ad-45b6-ad70-7150e57bde6b,9/22/54,1/19/94,999-46-1080,Deon,Daugherty,M,white,swedish,F,7899 Barry Knoll Worcester MA 01602 US
81979c08-df99-4792-b608-65fcf28f4019,7/11/68,,999-26-5067,Orville,Champlin,M,white,american,M,668 Yesenia Villages Apt. 530 Revere MA 02151 US
6166101c-e02f-4230-b6c1-533865470674,6/3/21,10/14/11,999-39-8352,Kelvin,Nitzsche,M,white,english,M,940 Carol Heights Apt. 998 Springfield MA 01104 US
8ed58c42-7231-402a-8d9c-78d8012dfd0f,11/27/88,,999-96-2944,Angelena,Kertzmann,S,white,german,F,268 Jacinto Parkways Taunton MA 02783 US
76dd4a26-247c-435a-beeb-5d1b2f459984,6/29/34,4/22/05,999-17-8593,Cameron,Heller,M,white,swedish,F,73868 Kaela Plaza Suite 793 Great Barrington MA 01230 US
22ab8c28-3e4b-4f59-bbfa-42d22fba7820,12/27/80,,999-10-5314,Cory,Fay,M,asian,chinese,M,68204 Sienna Village Woburn MA 01813 US
b9804a51-714b-495f-96a5-7aa9d0bc3361,9/23/95,,999-10-1009,Stephen,Predovic,,white,portuguese,M,237 Ola Junctions Holyoke MA 01040 US
17ac2a91-9629-4c6f-bbb4-9e462a453216,3/28/90,,999-25-3079,Joshua,West,M,black,dominican,F,28699 Douglas Fields Apt. 371 Rowley MA 01969 US
d918094c-e971-487c-bcca-1b3ab214c18f,5/18/04,,999-46-3649,Hilma,Rath,,white,italian,F,491 Koss Shores Apt. 650 Walpole MA 02081 US
7ed563db-36ff-438e-b8d1-0c5e15ad17fe,9/16/17,,999-57-7660,Toney,Kautzer,,white,french,M,256 Jada Island Northbridge MA 01534 US
4276c930-85d4-4eab-ac2b-7031d9fe2f14,7/15/32,8/18/00,999-61-1309,Wade,Lindgren,M,white,italian,M,4680 Crist Extension Apt. 369 Millbury MA 01586 US
d0723d88-4368-4f06-9dca-51815e6fc767,10/20/62,6/9/06,999-84-2596,Elizbeth,Konopelski,M,white,german,F,83423 Predovic Trafficway Orange MA 01364 US
abf99602-7cb7-49db-9251-0499968c472f,9/27/61,,999-88-6198,Demetrius,Dickens,M,white,german,M,527 Kaylah Gardens Suite 830 Boston MA 02284 US
b2301dc8-edc8-4e55-9433-592b83df7183,7/27/71,,999-16-8479,Raymonde,Heathcote,M,white,french,F,77798 Howell Track Suite 247 Boston MA 02116 US
18a293e7-fffb-4189-ac31-7eb05fb5805a,11/9/53,,999-20-5372,Ozell,Armstrong,M,white,irish,F,2229 Marvin Orchard Plymouth MA 02362 US
48074b70-4db4-4ab0-b9e8-361bd2ba6216,4/8/35,9/6/17,999-34-8549,Giovanni,Russel,M,hispanic,puerto_rican,M,5780 Corwin Trafficway Dartmouth MA 02714 US
10f9d196-ac63-45bd-ad51-ee49294d17c3,4/18/77,,999-20-4980,Bryan,Mayer,M,white,italian,M,362 Reinger Passage Apt. 412 Becket MA 01223 US
18e12d26-17ac-4547-98e1-df962a14c0a6,11/20/86,,999-74-3458,Mauro,McCullough,M,white,irish,M,50531 Leilani Rapid Suite 705 Marlborough MA 01752 US
3f16df24-c47f-4b37-a735-e32d5a4c5839,6/10/48,,999-85-7003,Rosendo,Hodkiewicz,M,asian,chinese,M,61927 Rice Trace Somerville MA 02143 US
cc1924a0-f617-447a-8788-a6dff23c59c8,12/17/29,8/2/94,999-60-8624,Edward,Waelchi,M,white,american,M,129 Ralph Extension Suite 128 Boston MA 02118 US
40eedb6c-d66b-4675-9065-8f3f89988336,7/3/33,10/11/71,999-70-8486,Sherika,Stoltenberg,M,black,dominican,F,75334 Kuvalis Union Suite 538 Springfield MA 01151 US
a7c79f2a-026b-478a-ada4-060c584a8b12,8/20/17,12/9/02,999-92-1074,Carmine,Schroeder,M,white,russian,M,2790 Aileen Vista Springfield MA 01151 US
00d4fba5-9a5f-411a-9010-c970fb50962e,9/22/10,,999-63-8222,Colton,Keebler,,white,french,M,556 Janick Pines Belmont MA 02478 US
4f1861f7-9e36-4804-bb58-57c64d634b51,12/19/85,,999-18-9078,Thomas,Altenwerth,M,white,irish,M,64559 Serena Motorway Lowell MA 01854 US
57d8c624-fc7b-4823-a06f-38586d6e18d7,5/12/56,,999-59-8930,Burt,Considine,M,white,italian,M,592 Josiane Burg Plymouth MA 02361 US
99ca7d85-4dd4-446a-a200-b65a4dee5756,6/2/54,5/22/17,999-73-2539,Gertrud,Roob,S,black,west_indian,F,773 Kulas Pike Apt. 509 Boston MA 02111 US
1e7079ee-eaf9-4c1f-bbc0-59d3ae5573f4,1/19/23,9/28/90,999-74-2838,Martin,Heathcote,S,hispanic,central_american,F,52816 Hayes Estates Haverhill MA 01831 US
99df966a-fd10-404f-af2a-4529e1fca07a,11/12/08,,999-85-1550,Mohamed,Marquardt,,white,french,M,654 Gaston Centers Gloucester MA 01930 US
9b277cdd-68e2-4d81-9a29-363c33ac81c1,11/20/60,,999-77-2774,Claudio,Streich,M,white,german,M,875 Madeline Highway Apt. 660 Somerville MA 02144 US
b017e89c-0f00-4a04-8d14-92262a2090cd,12/16/17,10/4/87,999-21-9935,Jermaine,Dicki,S,hispanic,puerto_rican,M,65875 Mraz Roads Apt. 304 Reading MA 01867 US
c68c7370-7c26-4ad5-92dd-5c942148f413,4/20/30,11/3/91,999-52-5234,Marlin,Lubowitz,M,white,irish,M,3768 Kelsie Heights Apt. 397 Billerica MA 01821 US
ab6d8296-d3c7-4fef-9215-40b156db67ac,4/19/94,,999-55-1956,Emmanuel,Adams,,white,irish,M,53328 Kristopher Springs Suite 264 Whitman MA 02382 US
c7972562-7f73-49e1-a70e-79ef22eeab42,7/12/26,2/23/09,999-42-2844,Annabelle,Pouros,M,white,english,F,66248 Schiller Track Suite 233 Franklin Town MA 02038 US
cf792e44-3b0c-45b7-82ec-47605036fb60,12/7/09,,999-43-9933,Jackelyn,Bradtke,,white,french,F,947 Blanda Village Billerica MA 01821 US
629b8fc9-0eb7-4576-b296-088e9b271941,8/11/57,,999-91-5077,Harry,Kozey,M,white,french,M,6572 Bashirian Fords Ipswich MA 01938 US
b350b118-f30d-4a9d-a006-56be45a4da13,8/11/85,,999-82-1222,Vikki,Blanda,M,white,irish,F,77524 Russel Station Boston MA 02120 US
c383f814-9ee4-4ca8-a0ff-ee1369f8d2ee,8/23/45,8/2/12,999-44-6656,Kraig,Gerhold,M,white,irish,M,296 Nakia Harbor Bourne MA 02559 US
52f3fe85-4016-419d-8384-c2085564cb62,10/9/97,,999-70-3855,Leatha,Legros,,black,african,F,31320 Dewayne Mountain Acton MA 01718 US
08608e32-0dc5-43a8-ba12-99fbb8c9575c,6/24/56,,999-16-6274,Lissette,Littel,S,white,irish,F,2628 Weissnat Terrace West Springfield Town MA 01090 US
b5ff95c6-b88a-478e-8416-671f0883c054,2/4/55,6/20/01,999-15-6674,Carl,Sawayn,M,white,scottish,F,749 Tromp Ford Braintree Town MA 02185 US
0e08c73a-6a47-459b-9c9c-48536c76f9ef,10/23/37,8/12/89,999-77-7281,Jules,Morissette,M,asian,chinese,M,925 Lueilwitz Meadow Chicopee MA 01020 US
04928cd0-905a-457f-bef6-a164d76b8544,8/9/15,,999-98-2128,Shane,Wisoky,,white,swedish,F,9079 Thalia Cape Apt. 270 Amherst MA 01002 US
5111622d-2af8-4611-8489-2dd00573c857,6/20/22,3/5/85,999-57-4079,Meg,Schiller,M,white,irish,F,1874 Renner Station Randolph MA 02368 US
0e9db90e-e07c-4269-b96e-d9f9df054dba,4/2/57,,999-84-8032,Ligia,Gerlach,S,asian,chinese,F,6773 Schuster Loop Suite 376 Worcester MA 01612 US
9a7b7520-3cc1-4d58-84a3-6e56f0a1b02d,12/1/91,,999-78-1500,Adam,Pacocha,,black,african,M,114 Balistreri Island Apt. 459 Watertown Town MA 02471 US
ae0a67eb-c875-416f-8352-9277872c8621,11/23/97,,999-82-4301,Cesar,Larson,,white,english,M,984 Keeling Lock Apt. 895 Malden MA 02148 US
10fd692e-fdef-4aa6-b010-8a95005b59f1,1/16/12,,999-55-3265,Emil,Weber,,black,african,M,83477 Reinger Dam Boston MA 02297 US
0b763e21-2a8f-4f04-86d2-f7e8f9cebb21,7/14/55,6/22/17,999-10-9321,Walter,Bahringer,M,white,italian,M,928 Doyle Ports Suite 342 Walpole MA 02081 US
8772ca86-5853-46f5-9179-e2351feb22a6,6/4/52,,999-78-4769,Muoi,Kuhlman,M,hispanic,puerto_rican,F,960 Eliane Square Suite 385 Somerset MA 02725 US
9ab16190-9e98-4d43-b22e-1c656de45f76,8/15/69,,999-88-4295,Aimee,Toy,M,white,irish,F,721 Amaya Land Boston MA 02109 US
dd9a84a6-e60e-4c32-9372-b849144b016f,4/14/32,,999-10-7739,Rhea,Greenholt,S,white,polish,F,8817 Jaiden Hill Medford MA 02156 US
e17ad385-64d8-4266-8300-26108998f947,7/27/41,8/7/16,999-78-6428,Lorie,Cruickshank,M,white,german,F,14357 Lexie Shoals Apt. 899 Arlington MA 02475 US
b34c6415-ddd3-4e3a-a2f0-524685469328,8/15/22,10/28/03,999-87-7172,Everett,Bins,M,white,french,M,3694 Grimes Key Northampton MA 01061 US
fff429dc-1604-461c-9af0-25c2c9350759,4/27/73,,999-82-1438,Brice,Jerde,M,white,french,M,404 Billie Plains Somerville MA 02145 US
428ab0b1-a2bd-4f08-863e-40f62b368c3f,1/16/40,1/24/00,999-43-4124,Ed,Yost,S,white,english,M,40255 Reichel Drive Suite 932 Dartmouth MA 02714 US
